Release ID,Artist,Title,Year,Genres,Formats
642132,Various,30 Dynamite Hits Vol. 1 (Cassette One),1973,"Rock, Funk / Soul",8-Track Cartridge
4219376,"Jimmy Castor Bunch, The",The Jimmy Castor Bunch,1979,Funk / Soul,8-Track Cartridge
3630259,Yes,The Yes Album,1971,Rock,8-Track Cartridge
2886189,Various,Stars Of The Grand Ole Opry 1926-1974,1974,"Blues, Folk, World, & Country",8-Track Cartridge
2734119,Tanya Tucker,What's Your Mama's Name,1973,"Folk, World, & Country",8-Track Cartridge
4696077,"Joneses, The",Keepin' Up With The Joneses,1974,Funk / Soul,8-Track Cartridge
2974601,Linda Ronstadt,Prisoner In Disguise,1975,Rock,8-Track Cartridge
4000606,Lou Reed,Lou Reed Live,1975,Rock,8-Track Cartridge
3270523,Timmy Thomas,Why Can't  We Live Together,1972,Funk / Soul,8-Track Cartridge
2812627,"Supremes, The & Temptations, The",Together,0,Funk / Soul,8-Track Cartridge
3154355,Kornelyans,Not An Ordinary Life,1974,Rock,8-Track Cartridge
4231386,Dalida,Dalida,1974,Pop,8-Track Cartridge
4696018,Paul McCartney,McCartney,1970,Rock,8-Track Cartridge
4790146,Deep Purple,Machine Head,1972,Rock,8-Track Cartridge
2748517,Manfred Mann's Earth Band,The Roaring Silence,0,Rock,8-Track Cartridge
4973334,Led Zeppelin,Led Zeppelin III,1970,Rock,8-Track Cartridge
4593112,Dolly Parton,"""9 To 5"" And Odd Jobs",1980,"Rock, Folk, World, & Country",8-Track Cartridge
4028529,Gilda Giuliani,Si Ricomincia,1974,Pop,8-Track Cartridge
2471632,"Cleveland Festival Orchestra, The",Beethoven Symphony No. 6 In F Major Op. 68 — Pastoral,1974,Classical,8-Track Cartridge
1894453,Isaac Hayes,Shaft,1971,"Jazz, Funk / Soul, Stage & Screen",8-Track Cartridge
2174902,"Edgar Winter Group, The",They Only Come Out At Night,1972,Rock,8-Track Cartridge
1339763,Con Funk Shun,Con Funk Shun,1976,Funk / Soul,"Vinyl, 8-Track Cartridge, Cassette"
4765670,Sly & The Family Stone,Life,1968,Funk / Soul,8-Track Cartridge
4138066,Al Caiola And His Orchestra,Dalla Colonna Sonora Del Film Il Padrino,1972,Stage & Screen,8-Track Cartridge
4604427,James Gang,Thirds,1971,Rock,8-Track Cartridge
3459930,Klaus Wunderlich,Hits Again 3,1973,"Electronic, Jazz, Rock, Pop, Folk, World, & Country",8-Track Cartridge
2290361,UFO (5),Obsession,1978,Rock,8-Track Cartridge
2574232,Spike Jones And His City Slickers,The Wacky World Of Spike Jones & His City Slickers,1982,Pop,8-Track Cartridge
4041165,Various,Super Oldies Of The 60's Volume 8,0,Rock,8-Track Cartridge
