Release ID,Artist,Title,Year,Genres,Formats
943369,Red Box,Lean On Me,1985,"Electronic, Rock, Pop","Vinyl, Vinyl, All Media"
1112296,Saitone,Gameboy Music,2004,Electronic,"All Media, File, File"
1279917,Pep Bago,Find The Groove,2008,Electronic,All Media
4253184,Transatlantic (2),More Never Is Enough - Live @ Manchester And Tilburg 2010,2011,Rock,"CD, DVD, All Media"
4823373,Katharine McPhee,Unbroken,2010,"Rock, Pop","CD, DVD, All Media"
1567224,Lacrimosa,Stille / Stolzes Herz,2006,Rock,"CD, CD, All Media"
1607497,U.S. Bombs,Scouts Of America,1994,Rock,"Vinyl, Vinyl, All Media"
3254999,Blutengel,Nachtbringer & Tränenherz Live,2011,Electronic,"CD, DVD, All Media"
2482272,Thurston Moore,Psychic Hearts,1995,Rock,"Vinyl, Vinyl, All Media"
2726255,Rhapsody,Symphony Of Enchanted Lands II - The Dark Secret,2004,Rock,"CD, DVD, All Media"
4375410,Pantera,Cowboys From Hell,2010,Rock,"CD, CD, All Media"
1004043,Anthrax,The Greater Of Two Evils,2004,Rock,"CD, CD, All Media"
4044275,"Gathering, The",Downfall - The Early Years,2001,Rock,"CD, CD, All Media"
4817367,Powerwolf,Preachers Of The Night,2013,Rock,"Box Set, Vinyl, CD, CD, All Media"
3047728,Céline Dion,A New Day Has Come,2008,"Electronic, Pop","CD, DVD, All Media"
2410137,Apocalyptica,7th Symphony,2010,Rock,"CD, DVD, All Media"
1907501,"Cult, The",Love,2009,Rock,"CD, CD, All Media"
3124614,Pink Floyd,The Dark Side Of The Moon,2011,Rock,"CD, CD, All Media"
2230801,Edie Sedgwick,Edie Speaks,2006,Non-Music,"CD, All Media"
2863882,Karl Jenkins,The Armed Man: A Mass For Peace (10th Anniversary Edition),2010,Classical,"CD, DVD, All Media"
1762460,Tom Waits,"Orphans: Brawlers, Bawlers & Bastards",2006,"Jazz, Rock, Blues, Stage & Screen","CD, Vinyl, All Media"
3661890,Coheed And Cambria,In Keeping Secrets Of Silent Earth: 3,2003,Rock,"Vinyl, Vinyl, All Media"
1737728,Duffy,Rockferry,2008,"Funk / Soul, Pop","CD, CD, All Media"
2920750,Helloween,Unarmed - Best Of 25th Anniversary,2009,Rock,"CD, DVD, All Media"
3916377,Metsatöll,Tuska,2012,Rock,"CD, DVD, All Media"
4329626,Dark Tranquillity,The Gallery,2012,Rock,"Vinyl, Vinyl, All Media"
116922,Silence,Silence I + II,1994,Electronic,"CD, CD, All Media"
2766045,Apocalyptica,7th Symphony,2010,Rock,"CD, CD, All Media"
2849199,Explosions In The Sky,"Take Care, Take Care, Take Care",2011,Rock,"Vinyl, Vinyl, All Media"
3418423,Janet Jackson,The Rhythm Nation Compilation,2002,"Electronic, Hip Hop, Funk / Soul, Pop","DVD, CD, All Media"
