Release ID,Artist,Title,Year,Genres,Formats
3694873,"Gustav Mahler - Concertgebouworkest, Bernard Haitink",Symphony N° 7,1971,Classical,"Vinyl, Box Set"
1640202,Ray Keith,The Master Drum And Bass Selection,1998,Electronic,"CD, Box Set"
2886036,Britney Spears,Oops!...I Did It Again,2000,Pop,"CD, CD, Box Set"
4566446,R.E.M.,Green,2013,Rock,"CD, CD, Box Set"
4639640,Led Zeppelin,Boxed Set2,1993,Rock,"CD, Box Set"
74117,Various,This Is... The Best Of Euphoric Trance,2002,Electronic,"CD, CD, Box Set"
3281383,Bing Crosby,Merry Christmas,0,Pop,"Vinyl, Box Set"
2029591,Three Mile Pilot,1991-1999,2009,Rock,"CD, CD, CD, Box Set"
3905890,"Johann Sebastian Bach, Otto Klemperer, New Philharmonia Orchestra",The Four Suites For Orchestra,1978,Classical,"Box Set, Vinyl"
2452324,Lonnie Liston Smith,Original Album Classics,2009,"Jazz, Funk / Soul","CD, CD, CD, CD, CD, Box Set"
3432501,Various,Lonely Is An Eyesore,1987,"Electronic, Pop","CD, Vinyl, Cassette, VHS, Box Set"
2857464,"Beatles, The",The Capitol Albums Vol.1,2004,"Rock, Pop","CD, Box Set"
923824,Tenacious D,The Pick Of Destiny,2006,Rock,"CD, Box Set"
2131624,"Richard Wagner – Kirsten Flagstad, Ludwig Suthaus, Wilhelm Furtwängler",Tristan Und Isolde,1974,"Classical, Stage & Screen","Vinyl, Box Set"
4817367,Powerwolf,Preachers Of The Night,2013,Rock,"Box Set, Vinyl, CD, CD, All Media"
2465261,"National Symphony Orchestra, Howard Mitchell",Instruments Of The Orchestra,1962,"Non-Music, Classical, Children's","Vinyl, Box Set"
4956845,Massiv In Mensch,The Cortex Zero Effect,2013,Electronic,"CD, CD, Vinyl, Box Set"
390581,Various,Anthems! (Limited Edition Box),1996,Electronic,"CD, Box Set"
3235265,"Saturdays, The",On Your Radar,2011,"Electronic, Pop","CD, DVD, Box Set"
4744134,Eddy Arnold,All Time Hits From The Hills Volume 2,1951,"Folk, World, & Country","Vinyl, Box Set"
1032277,Various,1960,1987,"Rock, Funk / Soul, Pop","Vinyl, Box Set"
