 Release ID,Artist,Title,Year,Genres,Formats
2697116,Funkdoobiest,Which Doobie U B?,1993,Hip Hop,Cassette
1696027,Video (2),Relatos De Diez Mundos,1986,"Electronic, Pop",Cassette
4962215,"Dan Pope, Sean Perkins",Call Of Cthulhu: The Wasted Land,2013,"Electronic, Jazz, Non-Music","Cassette, File"
2105744,Conrad Schnitzler,Con'86,1987,Electronic,Cassette
3425828,Euhedral / Timothy C Holehouse,Euhedral / Timothy C Holehouse,0,"Electronic, Rock",Cassette
407935,Mr. Moto (2) Meets De Fabriek,Rovelatous Dans Le Fabrique,1996,Electronic,Cassette
869740,Neil Diamond,Hot August Night (Vol. 1),1974,Rock,Cassette
3393725,Various,Bravo Hits Vol. 13,1995,"Electronic, Pop",Cassette
3925817,Not 1/2,"Experiments In The Connections Between Sounds, Music, And Noise",1986,Electronic,Cassette
3624689,Elvis Costello,Girls +£÷ Girls =$& Girls Volume One,1989,Rock,Cassette
1247686,No,(Untitled),1999,"Electronic, Non-Music",Cassette
1354587,Curve,Cuckoo,1993,"Electronic, Rock",Cassette
3680984,Wojczech / Distorsión Desequilibrada,Wojczech/Distorsión Desequilibrada Split,1998,"Electronic, Rock",Cassette
3965479,Aaron Dilloway,Post Live At Coda Lunga,2012,"Electronic, Non-Music",Cassette
4296330,Exploding Zombies,Piles Of Oozing Brainsauce,1993,Rock,Cassette
3182204,R. Harjono,Gendhing2 Sungkawa,1990,"Folk, World, & Country",Cassette
1843851,7 Seconds,The Crew,1993,Rock,Cassette
1093876,Maw,Pallid Light Nocturne,2003,Electronic,Cassette
3324150,Morrissey,Vauxhall And I,1994,Rock,Cassette
4441584,Deche-Charge / 2 Minuta Dreka,Smell My Noise Baby,2005,Rock,Cassette
1216645,Mylène Farmer,Que Mon Coeur Lâche,1992,"Electronic, Pop",Cassette
3996234,DJ Tizer,Wild Style,1998,Electronic,Cassette
2588098,Roberta Flack,Greatest Hits,1984,"Funk / Soul, Pop",Cassette
4553236,"B.B. King And Charioteers, The",Swing Low Sweet Chariot,0,"Funk / Soul, Blues",Cassette
4078764,Havoc & Prodeje,Dat's Da Way It'z Goin Down (Remix),1995,Hip Hop,Cassette
4352006,Various,Hot Hits,1983,"Electronic, Blues, Pop",Cassette
3043676,Boney M.,Greatest Hits Of All Times - Vol 1,1992,"Electronic, Pop",Cassette
4055689,Stress (2),Help Comes Too Late,2012,"Electronic, Rock",Cassette
3914002,Zodiac Mindwarp And The Love Reaction,Tattooed Beat Messiah,1988,Rock,Cassette
1362958,An Innocent Young Throat-Cutter,Crimes Of The Black Cat,2008,Electronic,Cassette
3209769,Cak Diyat Sariredjo,Ngremo,1978,"Folk, World, & Country",Cassette
3092123,Cecilia (10),Room,2006,"Electronic, Non-Music",Cassette
3529012,Various,This Is Soul,1994,Funk / Soul,Cassette
4005203,Geek Stompers,Ringside Action!!,1987,Rock,Cassette
4446753,Crowley (4),The Gate,1991,Rock,Cassette
871076,Various,Rave The City 3  (15 Baby-Sitting Hardcore Tracks),1993,Electronic,Cassette
2261930,Various,Knult Ein,2002,Electronic,Cassette
4872879,II Foe Tha $,It's Goin' Down,1996,Hip Hop,Cassette
4036934,Scooter,Live Party In Amsterdam + Previously Unreleased RMX,1999,Electronic,Cassette
4097941,"Grimness (3), Hell Eternal",Live At Kristallnact Fest,2009,Rock,Cassette
1643235,Galen (2),Galen,1997,Rock,Cassette
3785537,"Prodigy, The",Breathe,1996,Electronic,Cassette
4853973,Zana,Grupa Zana,1988,Pop,Cassette
3714348,Atman (2),Duchy Przodków Mieszkają W Drzewach,0,"Electronic, Rock, Folk, World, & Country",Cassette
768625,New Kids On The Block,No More Games (The Remix Album),1990,Electronic,Cassette
4982303,Loftgroover,Club Kinetic - European Techno Night,1993,Electronic,Cassette
1859074,Lou Reed,Romeo Had Juliette,1989,Rock,Cassette
4701334,Primitivum,Imperium Vetustum,2003,Rock,Cassette
3097731,Vatican Shadow,Washington Buries Al Qaeda Leader At Sea - Deck 3,2011,Electronic,Cassette
4935581,Boney M.,Take The Heat Off Me,1976,Funk / Soul,Cassette
4342875,OBK,Babylon,2003,Electronic,Cassette
1145852,Various,Metal Ballads V.I,1995,Rock,Cassette
1851726,Pink Desert / Wether,Split,2006,Electronic,Cassette
4349357,Pusdrainer,Excretion Competition,2013,Electronic,Cassette
656574,LaTour,LaTour,1991,Electronic,Cassette
1174490,Mas Ricardo,1995 After Hour #23,1995,Electronic,Cassette
2843872,Bobby Bland,Tell Mr. Bland,1983,Funk / Soul,Cassette
735477,Revolutionary Dub Warriors,Live At The Boatrace 10/12/93,1994,Reggae,Cassette
1384078,Drowning The Light,Through The Noose Of Existance,2007,Rock,Cassette
749811,Various,The Awards 1989,1989,"Electronic, Hip Hop, Rock, Funk / Soul, Pop",Cassette
2832306,Smell & Quim / Family Battle Snake,You Are Playin' Like A Fuckin' Pub Band. Five,2011,Electronic,Cassette
3905578,Eleanor McEvoy,Apologise,1993,"Pop, Folk, World, & Country",Cassette
251321,Various,Thunderdome VII MC1 (Injected With Poison),1994,Electronic,Cassette
3526796,Chuck Chamberlain,The Best Of Chuck Chamberlain,1999,Non-Music,Cassette
3830425,Luna (5),Penthouse,1995,Rock,Cassette
4096837,Open Tomb,Slower Than Thou,2012,Rock,Cassette
4320670,Cardiacs,Archive Cardiacs,1989,"Electronic, Rock",Cassette
3358005,Anthrax,State Of Euphoria,1988,Rock,Cassette
2172627,Pure Luege,Son Of Pure Luege,1987,Rock,Cassette
2322852,Lazet Michaels,Too Strong,1991,"1, 1, Hip Hop",Cassette
1589212,Edgar Wallace / Hans-Joachim Herwald,Edgar Wallace  8 - Der Unheimliche Mönch - Der Club Der Vier,1982,Non-Music,Cassette
1438655,Disgust (2),Inquisition,1997,Rock,Cassette
1725019,Bruno Cossano,Live In Paris 04.IX.1986,1986,Electronic,Cassette
1169542,Foo Fighters,Foo Fighters,1995,Rock,Cassette
3366936,Giuseppe Verdi,Otello - Prima Parte,1993,Classical,Cassette
2415335,Cantus Bestiae,Pactum Tacitum Cum Daemone,1999,Rock,Cassette
2046628,Cex & Grasslung,Dead Preps,2009,Electronic,Cassette
4457222,Thin Lizzy,Jailbreak,1976,Rock,Cassette
3703167,Nirvana,Bleach,1994,Rock,Cassette
4347388,Toxic Revolution,Noise Destruction Programm,2007,Rock,Cassette
4908244,Pink Triangle Series,Bill Muehlenberg,2013,Electronic,Cassette
4250931,Various,"Hvala Ti, Mama (Svim Divnim Ženama 2)",1990,Pop,Cassette
3489974,Гном И Снеговик,Удивительный Сад Разнообразной Музыки,2012,"Electronic, Rock, Blues",Cassette
4248524,Scooter,10 Th Anniversary Concert,2004,Electronic,Cassette
3294565,"Shamen, The",Different Drum,1993,Electronic,Cassette
4400615,Lescure 13,Live 1992,1992,Electronic,Cassette
4306145,Bulldozing Bastard,Disco Destructors,2012,Rock,Cassette
728676,Suede,Dog Man Star,1994,Rock,Cassette
4285082,Haat,Recidivus In Obscurum,2002,Rock,Cassette
4914160,Ana Bekuta & Futa Band,Opet Imam Razloga Da Živim,1996,"Folk, World, & Country",Cassette
3738805,Yüth,Self Hatred EP,2012,Rock,Cassette
3962773,"Dave Brubeck Quartet, The",Paper Moon,1982,Jazz,Cassette
4836955,Revenge (4),Attack.Blood.Revenge,2006,Rock,Cassette
4983962,World Trade,World Trade,1989,Rock,Cassette
1598374,Various,Best Of '90 Dance Party,2000,Electronic,Cassette
4108052,"World Is A Beautiful Place & I Am No Longer Afraid To Die, The",Demo 2010,2012,"Electronic, Rock",Cassette
4708759,Various,No More Kitchen Cooking - The Second Alternative Capitalists Compilation Cassette,1980,Rock,Cassette
4032041,Keith Carradine,I'm Easy,1976,"Rock, Pop",Cassette
832012,Suede,Stay Together,1994,Rock,Cassette
4553242,Les Vampires,Jesus Christ Etait P.D...,1987,Rock,Cassette
1555859,Michael Bolton,Soul Provider,1989,"Rock, Pop",Cassette
3710523,Godspeed (3),Ride,1994,Rock,Cassette
3907277,Various,The Best Of STR House & Techno Vol 1,1991,Electronic,Cassette
2763280,Foo Fighters,The Colour And The Shape,1997,Rock,Cassette
2978747,Električni Orgazam,Živo I Akustično,1996,Rock,Cassette
3549275,Painted Faces (2),New Jams,2012,"Rock, Folk, World, & Country",Cassette
1155667,Nephilim (2),Nephilim,1994,Rock,Cassette
3432501,Various,Lonely Is An Eyesore,1987,"Electronic, Pop","CD, Vinyl, Cassette, VHS, Box Set"
1717937,Matthias Riehl,Flitze Feuerzahn - Der Kleine Drache 22 - Loch Im Ballon,0,Non-Music,Cassette
4596581,Carlo Collodi,Pinocchio,1977,Non-Music,Cassette
4455467,Ulcerrhoea,Hatred Of Existence,2000,Rock,Cassette
1616709,Murs,Bac for No Good Reason,1996,Hip Hop,Cassette
2951438,Wolfgang Amadeus Mozart / James Levine (2) / Wiener Philharmoniker,W.A. Mozart - 1 - Le Sinfonie,1990,Classical,Cassette
4943622,Pick Your Side,Live On CIUT,2012,Rock,Cassette
3486517,Gerritt Wittmer,Heartbeat,2012,Electronic,Cassette
3306625,Чиж & Co,...О Любви,1996,Rock,Cassette
3910009,Grupo Latino,Quiero Recorrer Tu Cuerpo,1993,Latin,Cassette
333336,Fourth Dimension,Over Ground,0,"1, 1, Electronic",Cassette
2631085,George Jones (2),All-Time Greatest Hits - Volume I,0,"Folk, World, & Country",Cassette
4558527,Fear Factory,Fear Is The Mindkiller,1996,"Electronic, Rock",Cassette
1088880,FKY,Virtual Mix 2,2000,Electronic,Cassette
4657581,Bay City Rollers,Wouldn't You Like It?,1975,"Rock, Pop",Cassette
4055710,King Diamond,The Family Ghost,1987,Rock,Cassette
4195325,Mohamed Abdel Wahab,أنا هويت & في يوم وليلة,1993,"Folk, World, & Country",Cassette
4689461,Violence Beyond The Snowline,Barely Holding Together Something Bloody And Chaotic,2006,Electronic,Cassette
4234887,Various,Formation - Roadblock,2002,Electronic,Cassette
3506658,"Leo McKern, John Mortimer (3)",The Trials Of Rumpole,1985,Non-Music,Cassette
2608280,Jean Beauvoir,Jacknifed,1988,"Pop, Rock",Cassette
4884393,Queen,Queen,1991,Rock,Cassette
3667089,Galen (2) & Lab Lobotomy,No Wave High School,1995,Rock,Cassette
3584666,NOFX,Liberal Animation,1991,Rock,Cassette
4290411,Under Nylon,Cowen,2013,Electronic,Cassette
1936287,Serge Gainsbourg,Je Suis Venu Te Dire Que Je M'En Vais - Vol. 6 : 1972 • 1973 • 1975,1989,"Rock, Pop",Cassette
3431897,E-Sassin,31.10.97,1997,Electronic,Cassette
3635481,MDK (11),Demo 2009,2009,Rock,Cassette
1397151,Tachycardia,Cardiopatia,2007,Electronic,Cassette
3431839,Dr. Groo,Door 42,1999,Electronic,Cassette
4612521,Dissolve (2),Demo '93,1993,Rock,Cassette
3343987,"Schwyzer Kantonales Jugendblasorchester, Urs Bamert",'97,1998,"Classical, Brass & Military, Stage & Screen",Cassette
1430667,Dying Person,Sarsen Circle,1995,"Electronic, Non-Music",Cassette
3626093,Phoenix (23),Aniversare 35,1997,"Rock, Pop, Folk, World, & Country",Cassette
2077361,Various,Total Rundgång Vol. 1,1986,Rock,Cassette
4659294,Céline Dion,These Are Special Times,1998,"Electronic, Pop",Cassette
1966132,Karst (2),Eaten Guitars,2007,Electronic,Cassette
3146441,Various,Open Mix 11,1991,"Electronic, Hip Hop, Pop",Cassette
4423028,JT Ripper,Death Is Among Us,2012,Rock,Cassette
4060955,Lost Desert,Heterogen Infiltration,1989,"Electronic, Rock",Cassette
4328117,Gyibaaw,Ancestral War Hymns,2010,Rock,Cassette
2273143,Accident Du Travail,Accident Du Travail,2010,Electronic,Cassette
3880724,Various,Record Shack Presents Volume 3 - The Mixes,1986,"Electronic, Funk / Soul",Cassette
1387373,M.Nomized & I.Q.C.M.,Ondulante Y Variable Vol. 3,1998,"Electronic, Rock",Cassette
4223802,John Klemmer,Cry,1978,Jazz,Cassette
