Release ID,Artist,Title,Year,Genres,Formats
2531916,Galina Ustvolskaya,"Concerto For Piano, String Orchestra And Timpani · Octet For 2 Oboes, 4 Violins, Timpani And Piano · Sonata No. 3 For Piano · Grand Duet For Violoncello And Piano",1997,Classical,CD
4465453,Ghostface KillahAdrian Younge,Twelve Reasons to Die,0,,"Vinyl, CD"
696331,Jamie Lidell,Multiply Additions,2006,"Electronic, Funk / Soul",CD
939334,Killing Scum,Yonderdome [ヨンダードーム] - (Megamixxx Of The Sharpnelsound 1-7),2005,Electronic,CD
915310,Fangoria + Actibeat,Sonidos Para Una Exposición,2001,Electronic,CD
1517297,Simian Mobile Disco,Hustler,2007,Electronic,CD
1656920,Arvo Pärt,Symphony No.1. Collage On The Theme B-A-C-H. Pro Et Contra. Tabula Rasa.,2002,"Classical, Stage & Screen",CD
1114673,Various,Beat Delight,2006,Electronic,CD
4321517,Various,Speed 4,2003,Electronic,CD
2636656,Various,Quei Favolosi Anni '60 ● 1968 - 1,1993,Pop,CD
4057602,Wooden Rings,Wooden Rings,2012,"Pop, Folk, World, & Country",CD
1854218,"B-52's, The",Juliet Of The Spirits,2008,"Electronic, Rock, Pop",CD
131098,Various,"Little Darla Has A Treat For You, V.11, Winter '99",1999,"Electronic, Rock",CD
4173145,Malduguns,Pēddzinis,2011,Rock,CD
3576866,Проходной Двор,Перекати-поле,2003,"Rock, Blues",CD
3210522,Slider (13),I Wanna Go,1995,Rock,CD
4525247,Vicelow,BT2,2012,Hip Hop,CD
1316640,"Antonio Vivaldi, Claudio Scimone, I Solisti Veneti, Piero Toso",Le Quattro Stagioni,1990,Classical,CD
1268243,Various,Azuli Presents Miami 08 (Unmixed DJ Format),2008,Electronic,CD
1669729,Terrorama,Horrid Efface,2004,Rock,CD
4904240,Kontra K,12 Runden,2013,Hip Hop,CD
3633952,Anthrax,Black Lodge,1993,"Rock, Pop",CD
1232690,Sens Unik,Pole Position,1998,Hip Hop,CD
82542,"Plastic Avengers, The",Space Graffiti,2000,Electronic,CD
1537685,Faithless,No Roots,2004,Electronic,CD
4789121,Sloan (2),One Chord To Another,1997,Rock,CD
434075,Skrew,"Burning In Water, Drowning In Flame",1992,"Electronic, Rock",CD
1341346,Absent (2),Absent's Children,2008,Electronic,CD
2389083,Larry Graham,Sooner Or Later,2008,Funk / Soul,CD
3826894,Paul Rodgers,Soul Of Love,1997,Rock,CD
4327741,"Dream (10), The",Dream Archives,1994,Rock,CD
466014,Wave In Head,I Began To Hope,2001,Electronic,CD
1442814,BMX Bandits,The 53rd & 3rd Years,1999,Rock,CD
3591075,Papa Roach,Getting Away With Murder,2004,Rock,CD
220678,Various,Brain Ticket II - From Here To Nowhere,1995,Electronic,CD
3714099,Master Fuol,Brownsville Kid: Epidome Of Raw Animal Magnetism,2002,Hip Hop,CD
275675,Various,Freizeigestaltung 2,1996,Electronic,CD
3272829,"Ron Miles Quartet, The",Laughing Barrel,2003,Jazz,CD
2842935,Roger Whittaker,Pures Gold Für:  Wunderbar Geborgen,2005,"Folk, World, & Country",CD
3315877,Various,Blue Steel,2004,Reggae,CD
4234264,Maria Bill,Master Series,1998,"Pop, Stage & Screen",CD
625925,Antico,Dreamer - Hoomba Hoomba,1996,Electronic,CD
1135288,Beranek,X-Ray / Trigger,2007,"Electronic, Rock",CD
4913610,Jim Gilstrap,Swing Your Daddy,1989,Funk / Soul,CD
3220383,Jean Derome - John Heward - Tristan Honsinger,Adventure In The Looking-Glass,2002,Jazz,CD
4678033,Pain (3),Pain,1997,"Electronic, Rock",CD
733785,Sadus,Elements Of Anger,0,Rock,CD
4062711,Sunna,One Minute Science,2000,"Electronic, Rock",CD
1745752,Glenn Jones,Here I Go Again,1992,Funk / Soul,CD
1464771,Tibetan Red,Fouta Djalon,2006,Electronic,CD
1851351,Various,Eiichi Ohtaki Songbook I 大瀧詠一作品集(1980~1985),1991,Pop,CD
4198617,Max Sedgley,Devil Inside,2005,Electronic,CD
429806,Various,Sympathy In Chaos  2,1998,Electronic,CD
3344140,Giorgio Gaslini,Piano Solo (Incanti),2011,Jazz,CD
1902227,Paquito D'Rivera Featuring Arturo Sandoval,Reunion,1991,"Jazz, Latin",CD
1041083,Taxi,The Accessory,2004,Electronic,CD
861323,Principles Of Flight,Night Time Lullabies,2007,Electronic,CD
1306925,Anna Nalick,Wreck Of The Day,2004,Rock,CD
3705771,NRBQ,NRBQ At Yankee Stadium,1989,"Jazz, Rock, Blues, Pop",CD
1903350,Sasha & John Digweed,Live In N.Y.C.,1996,Electronic,CD
3943723,Bow Wow,Unleashed,2003,Hip Hop,CD
1193633,Yan Lhert,Stay Alhert LP,2008,Electronic,CD
642925,ASP,Interim Works Compendium,2004,Rock,CD
2379597,Port Mone,Dip,2009,"Folk, World, & Country",CD
2156911,Snow (2),12 Inches Of Snow,1993,"Hip Hop, Reggae",CD
353396,Various,Les Années New Wave,1991,"Electronic, Rock",CD
4086054,Xzibit,Full Circle,2006,Hip Hop,CD
2081017,Mestizos (2),Qué Pasa En La Calle,1991,"Latin, Pop, Reggae",CD
1988005,Kelly Key,Kelly Key,2008,"Latin, Pop",CD
2558572,Pit Er Pat,High Time,2008,"Electronic, Rock",CD
4391627,Various,Radio Disney Jams 10,2008,"Electronic, Pop, Stage & Screen","CD, DVD"
2820870,Whitney Houston & Enrique Iglesias,Could I Have This Kiss Forever,2000,Pop,CD
3343024,Various,Frankie & Johnny,1992,"Rock, Funk / Soul, Pop, Stage & Screen",CD
4501905,Siva (7),Wrong Of Justice,2008,Rock,CD
4299881,Gregorians,Chill Mistery - Chapter XII Jesu Christe,2005,Electronic,CD
1900087,Various,CD 5 • 2009,2009,"Electronic, Pop, Rock",CD
719556,Dirty Vegas,Dirty Vegas,2002,"Electronic, Pop",CD
560949,Rob Thomas,This Is How A Heart Breaks,2005,Electronic,CD
3558195,Lila Downs,Tree Of Life,2000,"Latin, Folk, World, & Country",CD
884694,Various,R&B Classics,0,"Electronic, Hip Hop",CD
2617618,Def Leppard,C'mon C'mon,2008,Rock,CD
2838164,Various,Power Of Soul: A Tribute To Jimi Hendrix,2011,"Hip Hop, Rock, Blues",CD
2312870,Altaria,The Fallen Empire,2006,Rock,CD
3383528,"Carter Family, The",The Carter Family,2006,"Folk, World, & Country",CD
4067437,Buxton,Buxton,0,"Folk, World, & Country",CD
2821002,Speaker Bite Me,Smukke Kvinder Med Kærlighedskort,1998,Stage & Screen,CD
1540076,Soul II Soul,Wish,1993,Electronic,CD
1237860,Chuy Gomez,Best Of The Bay: Chapter I,1997,Hip Hop,CD
3655903,Various,Southern Soul Cellar,2002,"Funk / Soul, Blues",CD
1640202,Ray Keith,The Master Drum And Bass Selection,1998,Electronic,"CD, Box Set"
2886036,Britney Spears,Oops!...I Did It Again,2000,Pop,"CD, CD, Box Set"
2886036,Britney Spears,Oops!...I Did It Again,2000,Pop,"CD, CD, Box Set"
3541171,"Chapter (3), The",The Chapter,2000,Rock,CD
2991221,A1,Caught In The Middle,2002,"Electronic, Rock",CD
3600687,"Clash, The",Rock For Revolution,2003,Rock,CD
1185687,Kaada,No You Don't,2001,"Electronic, Rock, Funk / Soul, Folk, World, & Country",CD
3214843,Mosaic Feat. Zyon,Dance Now,1991,Electronic,CD
4088676,Amy Winehouse,"FM Oxygen Festival Punchestown Racecourse County Kildare, Ireland",2008,Rock,CD
1559701,Yello,The Race,1988,"Electronic, Pop",CD
1976993,Andrius Mamontovas,"O, Meile!",2002,"Rock, Pop",CD
507483,Various,New Voices Vol. 6,1996,"Electronic, Jazz, Rock",CD
4660808,Andain,You Once Told Me,2012,Electronic,CD
4694118,Fecalizer / Semen (3),Living Between Excrement And Cumshoots,2013,Rock,CD
445011,Various,Yep Roc Records Fortune Cookie 2003,2003,Rock,CD
4575542,Hoobastank,The Greatest Hits: Don't Touch My Moustache,2009,Rock,CD
2891348,Various,Midem 1999: Sampler Part 3 - Techno / Trance,1999,Electronic,CD
4725679,Various,Metal Madness Vol. 1,1992,Rock,CD
465560,Various,Club System 4,1997,Electronic,CD
4902342,Kárpátia (2),Justice For Hungary!,2011,Rock,CD
3550715,Jimmy Knepper Quintet,Dream Dancing,1986,Jazz,CD
4277487,Various,Supermarket - Another Electrodinamic Elefant Compilation,1998,"Electronic, Rock, Pop",CD
2120262,Kim Janssen,"The Truth Is, I Am Always Responsible",2009,Rock,CD
3870573,54 Nude Honeys,Happy Honey Pretty Go!,1995,Rock,CD
263557,Various,Electroacoustic Music. Vol. III,1999,Electronic,CD
4525866,Julian Cope,My Nation Underground,1988,Rock,CD
4407498,"Horsehead Union, The",The Horsehead Union,2012,Rock,CD
4794609,Destruction,Mad Butcher / Eternal Devastation,1988,Rock,CD
3981380,Joan Osborne,Breakfast In Bed,2007,"Rock, Funk / Soul, Pop",CD
176422,Monos,Nightfall Sunshine,2002,Electronic,CD
3041436,Gnidrolog,In Spite Of Harry's Toe-Nail,0,Rock,CD
2892027,Coma Curve,Faded Scars,2009,Rock,CD
1931489,Sly & The Family Stone,Greatest Hits,0,Funk / Soul,CD
3562279,La Muñeca De Sal,Geometría,2005,"Rock, Pop",CD
1953769,Various,VR / Sampler (Compilation (DPRO) 1999),1999,"Electronic, Hip Hop, Jazz, Rock, Funk / Soul",CD
3734240,oLudo,Nascituro,2009,Rock,CD
1551691,Various,Dance Mix '96,1996,"Electronic, Pop",CD
1486859,Annea Lockwood,Thousand Year Dreaming,1993,Classical,CD
3236503,Oregon,In Concert,2001,"Jazz, Folk, World, & Country",CD
1841888,Jimi Hendrix,The Rainbow Bridge Concert,2002,Rock,CD
3569776,"Juan MacLean, The",Tito's Way,2005,Electronic,CD
2444676,Spandau Ballet,Once More,2009,Pop,CD
679250,Various,Trance 2001,2001,Electronic,CD
3660602,Lionel Hampton,Small Combos 1937-1940,1990,Jazz,CD
4783366,Larry Mitchell,Larry Mitchell,1990,Rock,CD
1850847,Five Quartz & WHYK,Cosmic Underground,2008,"Electronic, Hip Hop, Funk / Soul",CD
578505,Colours Of Amon Ra,Red Ritual,1997,Electronic,CD
669194,Freestyle Man,Nightstarter 3,2006,Electronic,CD
481063,Various,Hatchet History - 10 Years Of Terror,2002,"Hip Hop, Rock",CD
2031945,"BossHoss, The",Stallion Battalion,2007,"Rock, Folk, World, & Country",CD
3760519,Various,Serious Beats 71,2012,Electronic,CD
4090927,"Gossip, The",Standing In The Way Of Control,2006,Rock,CD
4266010,Alain Caron,Live: Cabaret De Montréal,2006,"Electronic, Jazz, Funk / Soul",CD
300656,Rúnk,Ghengi Dahls,2002,Electronic,CD
1636660,Runar Andersen / Janne Kjellsen,Songs After You,2003,Jazz,CD
4888533,Jay-Z,Magna Carta Holy Grail,2013,Hip Hop,CD
3607493,Exposed Guts,The Way Of All Flesh,2003,Rock,CD
4953602,Captor,Drowned,1996,Rock,CD
367507,American Music Club,San Francisco,1994,Rock,CD
2055096,Various,Trance Anthems,2001,Electronic,CD
4017837,Marianne Rosenberg,Träume,1998,Pop,CD
4488540,L.A. Guns,Tales From The Strip,2005,Rock,CD
3319689,Paul Westerberg,14 Songs,1993,Rock,CD
3015544,"Acro-Brats, The",...Go Down Swinging!,2006,Rock,CD
3756911,Ella Fitzgerald,The Legendary Volume 5,2002,Jazz,CD
365884,Pest,Quinolone,1999,"1, 1",CD
3481109,Darrell Standing,Psí Život,1997,Rock,CD
3916844,"Borg & Vella, Kenneth Vella",Dream Out Loud,2003,Latin,CD
3140412,Various,Le Top Des Tops 1,1993,"Hip Hop, Rock, Reggae, Funk / Soul, Pop",CD
533873,Michèle,Do Me Baby,1996,"Electronic, Hip Hop",CD
2256345,Jack Johnson,Sleep Through The Static,2008,Rock,CD
3214537,J. Karjalainen Electric Sauna,Verinen Mies,2001,Rock,CD
4828347,Little Green Cars,Absolute Zero,2013,Rock,CD
559814,Thyrfing,Farsotstider,2005,Rock,CD
2161919,Skunk Anansie,Charlie Big Potato,1999,"Electronic, Rock",CD
3811051,Jerry Lee Lewis,Greatest Hits,1993,Rock,CD
1499557,Robert Ashley,Dust,2000,"Electronic, Classical, Stage & Screen",CD
1739157,Georg Friedrich Händel / La Grande Ecurie Et La Chambre Du Roy / Jean-Claude Malgoire,Water Music - Royal Fireworks Music,1988,Classical,CD
4663754,Various,New Country - Volume 5 • Number 6,1998,"Folk, World, & Country",CD
3766693,Spirogyra,Old Boot Wine,2005,"Rock, Folk, World, & Country",CD
