Release ID,Artist,Title,Year,Genres,Formats
1510658,Def Disko,Rijeka,2008,Electronic,CDr
1097186,Das Experiment,Battlefield Of Dreams,2003,Electronic,CDr
2881656,Roy Hargrove,Poetry,2003,"Jazz, Funk / Soul",CDr
3547136,o F F,Ying Yang Boy Band,2012,"Electronic, Funk / Soul, Pop",CDr
2460383,Seasons (11),Seasons,2006,Rock,CDr
1898757,"Bear Faced Boy, The",Bite Backl!,2004,Electronic,CDr
4974371,mclusky,She Will Only Bring You Happiness,2004,Rock,CDr
4448120,Exclamation Point,Contorsione Psichica,2013,Electronic,CDr
2565079,Dreamcatcher (4) / shalocins,Split,2010,"Electronic, Non-Music",CDr
2150256,Forest Creature,With Patrick Derbyshire,2008,"Electronic, Rock",CDr
833832,Deathsquad (2),Centipede Strapon Masquerade,0,Electronic,CDr
843925,Random Access Memory,Random Access Memory,2004,Electronic,CDr
3455079,Mew,Why Are You Looking Grave?,2005,"Rock, Pop",CDr
2744952,i AM esper,Endless Seclusion,2011,"Electronic, Rock",CDr
1767525,Will Holland (2) vs Activa (3),Amnesia,2006,Electronic,CDr
2515961,Rusko Ft Amber Coffman,Hold On,2010,Electronic,CDr
3698530,Slovo,Sertão Blues,2002,Electronic,CDr
1146488,Dying Is Easy,Soular,2002,Electronic,CDr
2059277,"Fleshpeddlers, The",The Fleshpeddlers,1999,"Electronic, Pop, Rock",CDr
1912443,Hanover Fist (2),Information Retrieval,1998,Hip Hop,CDr
1271857,Asterroid Incubator,Fucking Singer,2002,Electronic,CDr
2575135,Noma (2),Ligature,2009,Electronic,CDr
2507028,Various,Virgin Radio Sessions: Exclusive Soundcheck Panel CD Vol. 6,2004,Rock,CDr
2240607,Various,North 2 Tha South Vol. 1,2007,Hip Hop,CDr
1434861,Kris Benton,Final Race,2007,Electronic,CDr
2240052,Robert Schröder,Everdreams,2005,Electronic,CDr
2157329,Digital Mystery Tour,DMT Express,2005,Electronic,CDr
3038198,FiliaMotsa,Sur La Pointe De La Vélière,2007,Rock,CDr
4521486,Funkstörung,Disconnected,2004,Electronic,CDr
4615076,Vernichtungsfeldzug,Stillhet (To End All Peace),2006,Rock,CDr
4369568,Solarstone,Rain Stars Eternal,0,Electronic,CDr
2148751,Marky Loo Loo,Kissing The Fist. On The Dead Arm. Of A Killed Kid,0,"Children's, Electronic, Hip Hop, Pop",CDr
3423824,"Naked And Famous, The",Girls Like You,2011,"Rock, Pop",CDr
984524,Screwtape (2),Earthanasia,2005,Electronic,CDr
2574923,Jan Staszewski,Głowa Do Góry,2010,Reggae,CDr
3446578,Various,Studio 33 - The 97th Story,2008,Electronic,CDr
267690,Paza Rahm,In Transit Through The Land Of Tranquility,1999,Electronic,CDr
1228429,Everwake,Twilight Rising,2007,Electronic,CDr
3056364,Coppice Halifax,Compost Dub,2011,Electronic,CDr
1753562,High Heel Maniac,The Night Stalks,2009,Electronic,CDr
1722151,"Smashing Pumpkins, The",Machina / The Machines Of God,2000,Rock,CDr
1553575,Neil Landstrumm,Lord For £39,2008,"Electronic, Reggae",CDr
1066513,Melinda Simon & Mark Fay,Sounds For Little Ones,2007,Non-Music,CDr
4851049,La Bianca,"One 4 U, One 4 Me",1995,"Electronic, Pop",CDr
1304807,Julie Dennis,Cut To The Chase,2008,Electronic,CDr
133238,Désaccord Majeur,La Neuvième Heure,2005,Electronic,CDr
4930904,Berox,Moonlight,2002,"Electronic, Rock",CDr
3645159,Various,Luzzfest 02,2002,Rock,CDr
4453830,McCabe & Mrs. Miller,Time For Leaving,2009,"Rock, Folk, World, & Country",CDr
840788,Trampfartyg,Ska Det Köras Cyklar Ner I Vaken?,2006,Electronic,CDr
1537411,Maurice & Noble,Hoochie Koochi,2004,Electronic,CDr
2465819,"Lines (2), The","Glorious Aftermath / No More, No Less",2010,Rock,CDr
1979625,Cory Allen,Hearing Is Forgetting The Name Of The Thing One Hears,2009,Electronic,CDr
2195412,Aquateca,Azure,2008,Electronic,CDr
2844153,Splinter (2),The Place I Love,0,Pop,CDr
4186942,Minarcshe,Blood From A Stone E.P.,2010,Pop,CDr
2981396,Elcab,Elcab,2007,Rock,CDr
1922611,Crane/Toth Duo,Live,2005,"Jazz, Rock",CDr
3347575,"Der Domestizierte Mensch, Problem Anderer Leute, Hēnglìkùpòlǐyǎěr",This Is Not My Life,2012,Electronic,CDr
1254176,Markus Zitzmann + Stefan Hetzel,21st Century Improvised Music,2007,Jazz,CDr
1475938,Mercury Rev,Senses On Fire,2008,Rock,CDr
2855476,M.I.A. (2),AlbumTracks,2004,Electronic,CDr
2546383,Molok Mun,Tribute To Henryk Neumann,2008,Electronic,CDr
2927471,EA80,Little Drummer Boy,2002,Rock,CDr
2453812,Digital Energy,Interemotional,2008,"Electronic, Pop",CDr
4592990,Agamenon Project / Gorgonized Dorks,Agamenon Project / Gorgonized Dorks,2013,Rock,CDr
1912714,MT Six,Cosmic Slow Rocker's Electrobilly Ride (All Night Long Session),2006,"Electronic, Rock",CDr
2821538,Blashko,Mutesic,2002,Electronic,CDr
4548172,Mark Fiction,Masquerade,2013,Rock,CDr
3074193,Iko,'83,0,Electronic,CDr
1352791,Various,Beyond The Sound,2002,Electronic,CDr
3674507,Davorin Bogović I Prljavo Kazalište,Све Је Лако Кад Си Млад У Беогхраду 2004,2004,"Rock, Pop",CDr
1814671,Melek-Tha / Posthuman Tantra,H.P. Lovecraft Opus V - Necronomicon Gnosis,2009,Electronic,CDr
2587016,Chicane Feat. Tom Jones,Stoned In Love,2006,Electronic,CDr
1339361,Perceptual Defence & Roberto Bucci,Free Sounds After 24h Silence,2007,Electronic,CDr
794734,MELL-ZEE And FläskProsessor,Lammkött,2000,Electronic,CDr
4152109,Nocturnal Delirium,The Last Flight Of The Condor,2013,Rock,CDr
4852637,Donae'o,Indigo Child LP,2011,"Electronic, Hip Hop, Funk / Soul",CDr
2927944,DJ Looney Tune,Workstation,2007,Electronic,CDr
853591,Spherical Disrupted,Vergeltung,1998,Electronic,CDr
1736640,John Legend feat. Andre 3000,Green Light,2008,Electronic,CDr
1925771,Wordsmith (2) & I.N.C. The Poet,A Baltimore Martini,2009,Hip Hop,CDr
1816539,Mike Koglin,Album Preview,2000,Electronic,CDr
3913344,Chicagojazzen,Låtar Som Morsan Kommer Hata,2010,"Electronic, Rock, Pop",CDr
3092383,Fugazi,"12-28-87  Washington, DC  DC Space ($1.99 Show)",2004,Rock,CDr
2353044,Whitehouse,Live Actions - Volume 10,2000,Electronic,CDr
1820081,Bong (4),Bong At Tyneside Cinema June 12th 2009,2009,"Electronic, Rock",CDr
3152203,Eamon,(How Could You) Bring Him Home (Remixes),2006,"Hip Hop, Pop",CDr
4815904,Frozen In Silence,Evening Falls,2010,Rock,CDr
4361720,Ashley Whamond,The Red Album,2003,Rock,CDr
1562237,Eschaton (2),Summon The Manifestation,2003,Rock,CDr
4043851,John Mayall,John Mayall U Beogradu,0,"Rock, Blues",CDr
3042689,Max Coveri,"Bye, Bye Baby",0,Electronic,CDr
858894,XV Parówek + Thaw,Untitled,2002,Electronic,CDr
3338368,Poupin-Up Feat. Boris (2),(Cette' Fille Est Une ...) Poupin-Up (Elle A Même Pas D'...),2004,Electronic,CDr
4866775,Dj Skull Vomit,Swamp Bitch Remixes,2013,"Electronic, Rock",CDr
1869823,Suspect (7),One Day At The Lakeside.,2007,Electronic,CDr
2499083,Whitey,The Light At The End Of The Tunnel Is A Train,2005,"Electronic, Rock",CDr
4725646,Shane Fahey,Industrial Ecology,2013,"Electronic, Non-Music",CDr
4312731,Mazes,Ores & Minerals,2013,"Electronic, Rock",CDr
2973518,"Human League, The",Credo,2011,"Electronic, Pop",CDr
2698765,Vile Evils,Vive Le Vile Evils Disc Two,2010,Electronic,CDr
2151993,Diktatūra,Baltai,2004,Rock,"CDr, CDr"
2151993,Diktatūra,Baltai,2004,Rock,"CDr, CDr"
690038,Spykes,Battle For The Mind,2006,Electronic,CDr
959929,Chromelodeon,The Final Recordings,2007,"Electronic, Rock",CDr
4546301,Stabbing Device,Demo,2013,Rock,CDr
1110602,011,Nocturbulous Behavior - The Mix CD,2003,Electronic,CDr
415009,Tore Honoré Bøe,Melting Snow,2004,Electronic,CDr
1450983,Xorb,Tiny Satellites EP,2008,Electronic,CDr
2206491,Unexistence (2),92 %,2005,Electronic,CDr
2177710,DJ Kimchi ÷ DJ P江戸,Concentrated Love / Concentrated Hate,2010,"Electronic, Pop",CDr
2804531,Toxic Holocaust,Critical Mass,2002,Rock,CDr
1378617,Various,Heerschaft Tour 2008,2008,Electronic,CDr
4407234,Victory And Associates,These Things Are Facts,2011,Rock,CDr
623210,SchwaB,DJs In A Row,2005,"Electronic, Rock",CDr
1954606,Eagle-Eye Cherry,Living In The Present Future,2000,Pop,CDr
2314668,"Blueskins, The",Lager And Lime,0,"Rock, Pop",CDr
2222683,Epilektrician,Frametweaks,2003,Electronic,CDr
657089,Allerian,Listening Device,2005,Electronic,CDr
806024,Milieu,Our Blue Rainbow,2006,Electronic,CDr
1435967,Acid Enema,Acid Enema,2008,"Electronic, Rock",CDr
3175084,Pink Floyd,Night Castle,0,Rock,CDr
3224132,Radikal Satan,Clochette,2010,"Rock, Folk, World, & Country",CDr
4522818,Warren Defever,R M X,2000,"Electronic, Rock",CDr
3015576,Audiopain (2),1986,2000,Rock,CDr
2139376,Nova-Sak,Earthphone,2004,Electronic,CDr
3314481,Timber Timbre,Medicinals,2007,Rock,CDr
3485464,Dominic Sonic,Down And Low,2007,Rock,CDr
2827493,Eskaubei / DJ Forma,W Grubej Formie,2008,Hip Hop,CDr
975354,"Egg, The",Nothing,2006,Electronic,CDr
580524,Random Insults,Songs For Robots,2005,Electronic,CDr
2190156,Defekt,Köld,2005,Electronic,CDr
1508311,RPM (11),Respect The Past,2007,Electronic,CDr
4812378,Frayser Click,Broken Halo,2010,Hip Hop,CDr
2480562,Earth Mother Fucker,Let Him Go Up,2001,Rock,CDr
4518992,Holy Martyr,Hail To Hellas,2003,Rock,CDr
4207442,David Bowie,Sampler,1999,"Rock, Pop",CDr
1174355,Blue Deers,Blue Deers (Special Rough Version),2007,"Electronic, Rock",CDr
1518727,Torturing Nurse,Smile Like Teenage Springtree,2008,Rock,CDr
2690094,Sketches For Albinos,Sketches For Albinos,2006,Electronic,CDr
489552,Tausendschoen,Neurophysiological Foundation,1999,Electronic,CDr
2143702,Dead Body Collection / Watch Me When I Kill,Acrotomophilia / Bloodletting (A True Story),2010,Electronic,CDr
3815475,Various,Milky Disco,2007,Electronic,CDr
2397055,Tokyo Vogue,Synthetic Bliss,2005,Electronic,CDr
686548,Hal McGee,Orion The Hunter,2005,Electronic,CDr
982251,Monstre (2),Monstre,2004,Rock,CDr
3407100,Migraine Inc,Y A Pu La Télé !,2012,Electronic,CDr
2017090,Leana (2),Faith,2006,Electronic,CDr
791598,New Order,Krafty,2005,"Electronic, Pop, Rock",CDr
1659269,Lip Service (2),2000,2000,Hip Hop,CDr
2416135,Concrete Creeps Filth,Too Short,2005,Electronic,CDr
