Release ID,Artist,Title,Year,Genres,Formats
4807415,Hercules & Love Affair,You Belong,2008,"Electronic, Pop",DVDr
2704111,Various,Larm Lounge,2006,Electronic,DVDr
1016444,"Blue Nile, The",Flags & Fences,0,"Electronic, Non-Music, Rock",DVDr
2808968,Denis Jones,Beginning,0,Electronic,DVDr
3021515,Keane,Crystal Ball,2006,Rock,DVDr
740068,Infadels,Love Like Semtex,2006,"Electronic, Rock",DVDr
315752,Various,Iz Hip Hop Dead?,2003,Hip Hop,DVDr
3534060,elizabeth Veldon,Is This Jazz?,2012,"Electronic, Jazz",DVDr
1710312,ION (15),PURE ELECTRIC SHIT!,2008,"Electronic, Non-Music",DVDr
4825826,Swedish House Mafia,Miami 2 Ibiza,2010,Electronic,DVDr
2970946,Various,Beasts Of The Night Gather Together: A Tribute To Suckdog,2002,"Electronic, Rock, Non-Music","CDr, DVDr, All Media"
569536,Richard Ramirez,Nature's Afterbirth,2005,Electronic,DVDr
4597630,50 Cent,King Of New York Volume One,0,Hip Hop,"DVDr, CDr, All Media"
1551302,Molls,Mushroom Live 2002.9.23,2003,Rock,DVDr
2833737,Soma Rasa,Step Up,2006,Electronic,"CDr, DVDr"
1260282,Roberto Opalio,"Whispers Of The Last Light, Part I & II",2007,Rock,"Lathe Cut, DVDr"
2940612,Syndrome (17),Floating Veins,2011,"Electronic, Rock","CD, DVDr"
2559718,Arctic Monkeys,Later... With Jools Holland (Live),2005,Rock,DVDr
3993542,Various,The Action,2010,Rock,DVDr
2864704,Ann Deveria,Suroeste,2010,Electronic,DVDr
1783759,Littles,The Feeding,2003,Hip Hop,"CDr, DVDr"
2692464,Holzkopf,Sober Materials #3,2010,Electronic,DVDr
1946305,Vill Rawsteen,The Hustlaz Soundtrack,2006,Hip Hop,"CDr, DVDr"
3031082,Inkubus Sukkubus,Adelaide 2005,2005,Rock,DVDr
2548455,Various,Toy Label Archives 1994-2007,2007,"Electronic, Rock, Pop",DVDr
4096104,L.A. Guns,"Live At The Whisky A Go-Go, Hollywood, California, 2000",0,Rock,DVDr
3148429,See You In Hell,Útok!,2007,Rock,"Vinyl, DVDr"
3300439,Henk Westbroek,Vriendschap - De Passie Van Henk Westbroek,2004,Non-Music,DVDr
1136331,Yarek,Noc Na Zamku,2007,Electronic,DVDr
3348619,Православный Дон,Песни Казачьего Дона,2011,"Folk, World, & Country",DVDr
3021684,Mylène Farmer,Oui Mais... Non,2010,Pop,DVDr
3073600,Dead Garden Cult,Live In A Dead System,2010,Rock,DVDr
1566349,Jojo Hiroshige,正福寺Live,2008,Rock,DVDr
