Release ID,Artist,Title,Year,Genres,Formats
3199554,Manic Street Preachers,This Is The Day (Acoustic Version),2011,Rock,File
1550914,Stephan Panev,Langer Tanz,2008,Electronic,File
4900106,Menschliche Energie,Files,2010,Electronic,File
4544815,"Dj Balli, Intergalactic Noischestra",Live At Homework Festival,2012,"Electronic, Non-Music",File
3904249,ChipHydra,Anything With Heart,2012,Electronic,File
2988897,Scott Brown,Evolution 100 EP Vol. 2,2011,Electronic,File
4962215,"Dan Pope, Sean Perkins",Call Of Cthulhu: The Wasted Land,2013,"Electronic, Jazz, Non-Music","Cassette, File"
4009880,Know How,Turn Up EP,2010,Electronic,File
3684781,Logic & Olivia,Playground Of The Past,2012,Electronic,File
4711100,Tito Lopez,The Hunger Game,2012,Hip Hop,File
3023939,Various,Etui Summer Camp 3,2011,Electronic,File
1524755,Sultan,Protection,2008,Electronic,File
4665393,Various,Future Sounds Of Buenos Aires,2012,"Electronic, Latin",File
1308580,DJ Funsko,Saturday Night Fever,2008,Electronic,File
4949190,X-Tremixed!,Autumn Breaks,2012,Electronic,File
2213591,Pink A Pad's,Mainstream Ep,2009,Electronic,File
3220679,Thysanura,Floating,2011,Electronic,File
3936443,Bardalimov,Breathe,2012,Electronic,File
4765195,Hysterics (7),Club Constructions Vol. 5,2013,Electronic,File
3799987,Rams Le Prince,I'm So Happy,2011,Electronic,File
1656922,DJ Matisse,Back To Sensation,2009,Electronic,File
1336183,Kaos + Karl K + Jae Kennedy,Xanadu / Houston,2003,Electronic,File
1484649,Abandoned Soul,Beyond Your Imagination,2006,Electronic,File
1973729,Pulser,Cloudwalking,2009,Electronic,File
2925032,Tartarus and Michelle Hutcheson,Beyond the Rainbow,2011,Electronic,File
2582689,Schwartz (3),Hurensohn Promocaust 2,2010,Hip Hop,File
3517931,Helena Zibbi,Karina na StoliQ,2011,Electronic,File
3211843,Muzikalist,Muzikalist @ Ascot Radioshow,2011,Electronic,File
1384785,Gert 3000,Super Tuesay EP,2008,Electronic,File
4153499,Petter & September,Baksmälla,2010,"Electronic, Hip Hop, Pop",File
1112296,Saitone,Gameboy Music,2004,Electronic,"All Media, File, File"
1112296,Saitone,Gameboy Music,2004,Electronic,"All Media, File, File"
2287577,Luca Noise,Sostanza Noetica E.P.,2009,Electronic,File
4755040,Carlo Cavalli,Pure,2013,Electronic,File
1754107,C3NTUR10N,Toxic-Tivi,2007,Electronic,File
4688518,Hum (8),Komsomol Scouts Space,2013,Electronic,File
4623954,"Depressive, The",Spectrum - EP,2012,"Electronic, Hip Hop",File
1121500,Phenex,Never Coming Back (enVias Remix),2007,Electronic,File
1441266,"Pushers, The",A Pushers Theme,2008,Electronic,File
3778562,DJ Robopunk,Hard Electro Rhythms 1,2012,Electronic,File
1304471,Child Drinks Clouds,Smot Le Roc,2006,Electronic,File
4325225,Various,Wordless Poem EP,2010,Electronic,File
1862585,Various,Monographic 38: LEEP & Colin Johnco Records,2009,"Electronic, Folk, World, & Country",File
1830338,Roger Mouzakis Feat. Eva Soul,Serenity,2009,Electronic,File
3558420,Hidden Rooms,Greyland,2012,Electronic,File
1366166,Paolo Jackson,The Bug,2007,Electronic,File
4030495,DJ Storm (18),Time Square Ep,2012,Electronic,File
3989301,Alvina Red & Manuel Perez,Back 2 School,2012,Electronic,File
3127798,Various,Future Techno Classics Vol 1,2011,Electronic,File
1186660,Flux Capacitor (2),Delorean,2007,Electronic,File
4126925,Jazzam,Warriors EP,2011,Electronic,File
3644049,AFROBOT,NYC Mix,2012,Electronic,File
1797767,Eric Entrena,Addicted (The Tweek'd Remixes),2009,Electronic,File
1442248,Lattice (2),Gestational Throbbling,2008,Electronic,File
1976512,Alexander Kibanov & Norihito Kodama,Dark Times (Single),2009,"Classical, Electronic, Rock",File
3911266,Danniel Selfmade,Roncolababy EP,2012,Electronic,File
3528562,Danny Serrano feat Gonzalez & Gonzalo,Fantastique,2012,Electronic,File
1558229,Andy Prieboy,Shine (Red Bead Follows Blue),2008,Rock,File
2193691,Fukkitol,Fukkitol,2009,"Electronic, Non-Music",File
787254,Adam L & Sparky (2),Brazil Nuts,2005,Electronic,File
3681920,Daniel Fagerström,Maneuvers In The Dark – Original Soundtrack,2012,"Electronic, Classical, Stage & Screen",File
2848501,Various,Murda LP,2011,Electronic,File
2395539,Ryan Nicholas Berretta,Revolution Rising,2009,"Electronic, Classical",File
