Release ID,Artist,Title,Year,Genres,Formats
2657844,"Magnets (2), The",The Magnets,1988,Rock,Flexi-disc
2704429,"Archies, The",Everything's Archie,1969,Rock,Flexi-disc
3852686,Milva,Venise Que J'Aime (Venezia T'Amo),1961,Pop,Flexi-disc
4401804,"Count Chocula, Boo Berry, Frankenberry",The Monsters Go Disco,1979,"Electronic, Non-Music, Children's",Flexi-disc
4650721,Jules Shear,Whispering Your Name,1983,"Electronic, Rock",Flexi-disc
200578,La Voix Des Nôtres,"Il Disait La Vérité, Ils L'Ont Tué...",2000,Electronic,Flexi-disc
4702100,Вокальный Ансамбль Вдохновение,Наша Песня,1976,"Rock, Pop",Flexi-disc
4369767,Monotonix,Now,2013,Rock,Flexi-disc
1845039,Various,Мой Адрес – Советский Союз,1973,"Pop, Rock",Flexi-disc
3009596,Unknown Artist,Cotton Songs,1971,"Jazz, Non-Music, Folk, World, & Country",Flexi-disc
1829544,Modern Art (2),Penny Valentine,1989,Rock,Flexi-disc
3084672,Psalty (2),Psalty's Christmas Calamity,0,"Non-Music, Children's, Stage & Screen",Flexi-disc
419912,"Apples In Stereo, The / Heartworms",Split,1995,Rock,Flexi-disc
4807856,Middle Of The Road,"Твидл-Ди, Твидл-Да",1975,"Rock, Pop",Flexi-disc
905579,Berthe Sylva,Berthe Sylva,1985,Pop,"Box Set, Vinyl, Flexi-disc"
2446801,Unknown Artist,Partytime Hits Record 1,1973,"Rock, Pop",Flexi-disc
2830313,UNKLE,When The Lights Go Out / We Own The Night,2011,"Electronic, Rock",Flexi-disc
4036200,Dimitri Dourakine / Lulu,Casatschok / Boom Bang-A-Bang,0,Pop,Flexi-disc
3583393,"Beathovens, The",Going To Beat,1964,Rock,Flexi-disc
2319130,Ralph P. Gordon Und Sein Orchester,Amba,0,"Jazz, Non-Music",Flexi-disc
1207854,Ford-Allen Singers,Happy Songs For Special Occasions,1960,Pop,Flexi-disc
4152065,Mayhem,Chainsaw Gutsfuck,1994,Rock,Flexi-disc
3010079,Various,Ningen Omnibus Vol. 1,1987,Rock,Flexi-disc
4905669,Werner Heukelbach,Gerade Du Brauchst Jesus,0,"Non-Music, Folk, World, & Country, Stage & Screen",Flexi-disc
2841009,Various,The Magic Cube,1982,Rock,Flexi-disc
3313682,Bee Gees,Любить Кого-то,1975,Rock,Flexi-disc
4774993,Мария Пахоменко,Разговоры / А Ты Меня Не Жди,1971,Pop,Flexi-disc
2016120,Crass,Rival Tribal Rebel Revel,1980,Rock,Flexi-disc
2943723,Brigitte Bardot,Gang Gang,0,Pop,Flexi-disc
720000,Thomas Leer / Cocteau Twins,Who's Fooling Who / Speak No Evil,1983,"Electronic, Rock",Flexi-disc
582617,AIR,Californie / Sexy Boy,1998,Electronic,Flexi-disc
1870598,"Family Cat, The",Tom Verlaine (Demo Version),1989,Rock,Flexi-disc
4239236,Gunnar Wiklund,Traum Vom Glück,1963,Pop,Flexi-disc
4051880,Czerwone Gitary,Jesienny Deszcz / Dziś Do Ciebie Przyjść Nie Mogę,0,"Rock, Pop",Flexi-disc
4960639,Narodni Ansambl Radosava Antanasijevića,Kolo Moravica,0,"Folk, World, & Country",Flexi-disc
964952,Various,Кругозор №4/1984,1984,"Non-Music, Pop, Classical, Folk, World, & Country",Flexi-disc
4078125,"Police, The",Mother,0,"Rock, Pop",Flexi-disc
982370,Private Eye (5),B.B.C. Gnome Service,1966,Non-Music,Flexi-disc
4800637,Dead Kennedys,Buzz Bomb From Pasadena,1987,Rock,Flexi-disc
3958654,Paruo,パルヲ,1983,Rock,Flexi-disc
3621365,Swedish Azz,Toots And Quincy,2012,Jazz,Flexi-disc
1938119,Клавдия Шульженко,Дорогой Длинною / Отрада,1969,"Folk, World, & Country",Flexi-disc
4187620,"Police, The",Once Upon A Daydream,0,"Rock, Pop",Flexi-disc
4964143,Various,La Bella Durmiente,1967,Children's,Flexi-disc
4972096,"Tommy Stone, Die Moonlights, Kid Orbis' Studio Band / Dina Van Beeren","Mister Blue / Yes, You Little Boy",0,Pop,Flexi-disc
4885230,Les Petits Chanteurs A La Croix De Bois,Bébé Dieu,1971,Classical,Flexi-disc
2502467,"Ingeborg Springer, Renate Hoff, Theo Adam, Gisela Schröter, Renate Krahmer, Peter Schreier, Dresdner Kreuzchor, Staatskapelle Dresden, Otmar Suitner",Hänsel Und Gretel (Schallplattenbeilage),1972,"Classical, Children's","Flexi-disc, Flexi-disc"
