Release ID,Artist,Title,Year,Genres,Formats
4893384,Bon Jovi,Access All Areas: A Rock & Roll Odyssey,1990,Rock,Laserdisc
2771877,George Michael,George Michael,1990,Non-Music,Laserdisc
3843935,Eagles,Hell Freezes Over,1994,Rock,Laserdisc
2854208,Sting,Unplugged,1992,"Rock, Non-Music, Pop",Laserdisc
2872462,Thomas Dolby,Live Wireless,1983,Electronic,Laserdisc
2897042,Tom Petty And The Heartbreakers,Playback,1995,Rock,Laserdisc
1467075,"Crusaders, The",The Crusaders,1991,Jazz,Laserdisc
3539739,Seiko Matsuda,ファンタスティック・コンサート レモンの季節,1982,"Rock, Pop, Stage & Screen",Laserdisc
3965271,Miles Davis,Live In Montreal,1989,Jazz,Laserdisc
2521597,Yellow Magic Orchestra,Live At Budōkan 1980,1993,Electronic,Laserdisc
2924462,Various,Hip-Hop - A Street History,1985,"Electronic, Hip Hop",Laserdisc
2708170,Bob James,For The Record,1991,"Jazz, Non-Music",Laserdisc
