Release ID,Artist,Title,Year,Genres,Formats
3826639,She Camel Of God,Consequences,1998,Electronic,Lathe Cut
3581598,"Strange Girls, The",The Strange Girls,2002,Rock,Lathe Cut
4543191,+HIRS+,Shut Down The Machine,2013,Rock,Lathe Cut
3211074,Space Bros.,Come Inside The Spaceship,2011,Electronic,Lathe Cut
1016710,Neil Campbell,Rolling Exploding / Sky Full Of Love,2003,Electronic,Lathe Cut
1012623,David Jackman,Ten-Cut,1996,Non-Music,Lathe Cut
3826612,Still Blue Still Turning Leads Into David Gross / Nick Williams / Andy Crespo / Ted Lee,Untitled,2012,"Electronic, Jazz",Lathe Cut
4356613,Martin Lorenz (3),Variation 02,2011,Electronic,Lathe Cut
2570982,Andrea Chimenti,Il Compleanno / Prima Della Cenere,2007,"Jazz, Pop, Rock",Lathe Cut
4561340,Be Gulls,Be Gulls Too,2013,"Rock, Folk, World, & Country","Lathe Cut, DVD"
1260282,Roberto Opalio,"Whispers Of The Last Light, Part I & II",2007,Rock,"Lathe Cut, DVDr"
3012383,George Apergis,Elektr-O-Tech Experiments E.P.,2006,Electronic,Lathe Cut
4055034,Thickly Painted Walls,I'm Sold,2012,Rock,Lathe Cut
1721571,Slate (2),Harp And Hammer,1996,Rock,Lathe Cut
4049909,+HIRS+ / Drums Like Machine Guns,Live From Motel Hell,2012,Rock,Lathe Cut
1221666,Tenshun,Untitled,2008,Hip Hop,Lathe Cut
1649707,My Cat Is An Alien,8 Inch Triangular Lathe Cut Record,2008,Rock,Lathe Cut
3106109,Anok Pe / Current 93,Suddenly The Living Are Dying,2011,Electronic,Lathe Cut
2510360,Hatred Surge,Con Artist b/w Lack Of Intelligence,2008,Rock,Lathe Cut
4314418,Waves Crashing Piano Chords / Rosy Palms,Split,2013,Electronic,Lathe Cut
2681941,Jad Fair And Daisy Cooper,South Pole,2007,Rock,Lathe Cut
2468332,Dreamstalker,Dreamstalker,0,Electronic,Lathe Cut
655210,"Infant Cycle, The",Clear Square,2002,Electronic,Lathe Cut
2382535,"Green Pajamas, The",These Are The Best Times / Vampire Crush,1998,"Rock, Pop",Lathe Cut
1885528,Wolf Eyes,Dept Charges,2004,Electronic,Lathe Cut
4054228,Berxen,Berxen,2012,"Electronic, Non-Music, Folk, World, & Country","Lathe Cut, Lathe Cut"
4054228,Berxen,Berxen,2012,"Electronic, Non-Music, Folk, World, & Country","Lathe Cut, Lathe Cut"
2856088,Negative Eh,Oceanography,1999,"Electronic, Rock",Lathe Cut
2995621,Ariadne Radi Cor,L'ondon: Message Five. April 2010,2011,Non-Music,Lathe Cut
