Release ID,Artist,Title,Year,Genres,Formats
1324920,Nat King Cole,Sings St. Louis Blues,1965,"Jazz, Blues",Reel-To-Reel
2868309,Ted Heath And His Orchestra,Ted Heath Salutes The Duke,1975,Jazz,Reel-To-Reel
957150,Dizzy Gillespie,The Ebullient Mr. Gillespie,1959,Jazz,Reel-To-Reel
2422153,Sly & The Family Stone,Life,1968,Funk / Soul,Reel-To-Reel
2777787,Enoch Light And His Orchestra,Beatles Classics By Enoch Light And His Orchestra,1974,Classical,Reel-To-Reel
3022237,Frank Sinatra,Come Dance With Me,1963,Pop,Reel-To-Reel
2436888,Randy Newman,Sail Away,1972,"Rock, Pop",Reel-To-Reel
4082889,Jethro Tull,Stand Up,1970,Rock,Reel-To-Reel
1924802,Santana,Santana III,1971,"Rock, Latin",Reel-To-Reel
2667286,José Feliciano,Compartments,1973,"Rock, Funk / Soul",Reel-To-Reel
