Release ID,Artist,Title,Year,Genres,Formats
3747530,Lucille Hegamin,Always Be Careful Mamma / Reckless Daddy,0,Blues,Shellac
4749118,Lil Green,Why Don't You Do Right? / Love Me,1941,"Blues, Pop",Shellac
2011317,"Delta Rhythm Boys, The Med Orchester Eddie Sauter",Flicka Från Backafall / Kullerullvisan,1952,Pop,Shellac
3743432,Fritz Kreisler,Pale Moon (Indian Love Song) / Toy Soldiers' March,0,"Classical, Pop",Shellac
3561197,Port Of Harlem Jazzmen / Frank Newton Quintet,Port Of Harlem Blues / After Hour Blues,1943,"Jazz, Blues",Shellac
2140845,Мунира Булатова,Ария Рамзии / Кичке Идел,1949,Classical,Shellac
3840816,Somethin' Smith & The Redheads,When I Grow Too Old To Dream / We'll Build A Bungalow,1956,Pop,Shellac
4294946,Jack Smith (2),"Up, Up, Up / Let's Sing A Song About Susie",1944,Pop,Shellac
3937303,"Andrews Sisters, The With Vic Schoen And His Orchestra",I Don't Know Why / Azusa,1946,"Jazz, Pop, Stage & Screen",Shellac
3794105,George Webb's Dixielanders,Muskrat Ramble / Jenny's Ball,1954,Jazz,Shellac
3600031,Ellison Van Hoose,Celeste Aida,0,Classical,Shellac
3897258,Bing Crosby And Connie Boswell With John Scott Trotter And His Orchestra,Basin Street Blues / Bob White (Whatcha Gonna Swing Tonight?),1938,"Jazz, Pop",Shellac
2615278,Freddy Martin And His Orchestra,Miss You / Rose O'Day,1941,Pop,Shellac
4608340,Δανάη Στρατηγοπούλου,Ζήλεια / Τα Καϋμένα Τα Νειάτα,0,"Folk, World, & Country",Shellac
4914056,Max Terr And His Orchestra / Empire Dance Orchestra,Will You Remember Me / Keep Smlling At Trouble,1925,"Jazz, Pop",Shellac
2996252,Kipras Petrauskas,Piku Dama / Traviata,0,Classical,Shellac
4829098,Louis Armstrong & His Hot Seven  /  Louis Armstrong & His Hot Five,Potato Head Blues / Put 'Em Down Blues,1927,Jazz,Shellac
4803631,Duke Ellington And His Orchestra,Harlemania / Stevedore Stomp,1936,Jazz,Shellac
2800010,"Василий Топорков, Борис Петкер, Софья Халютина",Мертвые Души,0,Non-Music,Shellac
4066463,Государственный Академический Русский Народный Хор Им. М. Е. Пятницкого / Клавдия Коток,Балалаечка Гудит / Белая Берёза,0,"Folk, World, & Country",Shellac
4843257,Ian MacPherson (8),A Dream O' Hame / My Ain Folk,1948,"Folk, World, & Country",Shellac
3639702,Carlo Buti Con L' Orchestra Ferruzzi,Chiari Di Luna / Sola E Luntana,0,Pop,Shellac
2229589,Harry James And His Orchestra,Concerto For Trumpet / Trumpet Blues And Cantabile,0,Jazz,Shellac
4481040,Erskine Hawkins And His Orchestra,"Fifteen Years / No, Baby, Nobody But You",0,Jazz,Shellac
4578933,Mario Lanza,Lolita / Granada,1953,"Latin, Classical, Stage & Screen",Shellac
2266669,Doris Day,I Speak To The Stars / The Blue Bells Of Broadway,0,"Pop, Stage & Screen",Shellac
4845624,Music In The Russ Morgan Manner,Drop A Nickel In The Slot / Joseph! Joseph!,1938,"Jazz, Pop",Shellac
2069428,Franco Ricci,Nustalgia / 'E Campane Napulitane,1952,"Folk, World, & Country",Shellac
2136693,Lita Roza,Changing Partners / Just A Dream Or Two Ago,1954,Pop,Shellac
2481992,Eddie Calvert,Zambezi / Trumpet Tango,1956,"Jazz, Pop",Shellac
4228168,Gene Autry,When I'm Gone You'll Soon Forget / Goodbye Little Darlin' Goodbye,0,"Folk, World, & Country, Stage & Screen",Shellac
2899791,"Pyotr Ilyich Tchaikovsky, Марк Рейзен",Ночи Безумные / Соловей,1939,Classical,Shellac
3295016,"Regal Orchestra, The",Valse Triste / Humoreske,1922,Classical,Shellac
2386996,Amelita Galli-Curci,La Paloma = The Dove / La Capinera = The Wren,1929,Classical,Shellac
3476076,Glenn Miller And His Orchestra,Fools Rush In (Where Angels Fear To Tread) / Yours Is My Heart Alone,1940,Jazz,Shellac
3321035,Bolshoi Theatre Orchestra,"Вальс Из Балета ""Спящая Красавица""",1939,Classical,Shellac
4177178,"Charleston Chasers, The",Sugar Foot Strut / Imagination,1928,Jazz,Shellac
2131918,Käthe Hoffmann U. Karl Golgowsky,Heimatglocken / Eine Weiße Rose,0,Pop,Shellac
3781934,Buddy Johnson And His Orchestra,My Reverie / Am I Blue,1951,Jazz,Shellac
4931182,Hallbjörg Bjarnadóttir Með Ole Høyers Orkester,Pedro Romero / Ennþá Man Ég Hvar,1955,"Jazz, Pop",Shellac
4892053,"Nutmegs, The",Ship Of Love / Rock Me,1955,Blues,Shellac
4207537,Frank Quinn,Up In The Loft / Molly On The Shore,1925,"Folk, World, & Country",Shellac
1815905,Billie Holiday And Her Orchestra,Long Gone Blues / Am I Blue,0,Jazz,Shellac
3199640,Маъмуржон Узоқов / Вокальный Ансамбль Узбекского Радио,Догман / Яли-Яли,1958,"Folk, World, & Country",Shellac
4064219,Dean Martin,"Let Me Go, Lover / The Naughty Lady Of Shady Lane",1955,"Jazz, Pop",Shellac
4222556,Kapelle Merton,Gold And Silver / Goldregen,0,Classical,Shellac
4732995,Nils Weingard Och Thory Bernhards,Nidälven / Bland Dalar Och Berg,1949,Pop,Shellac
3803429,London Philharmonic Orchestra Conducted By Efrem Kurtz,Aurora's Wedding - Ballet Music,1936,Classical,Shellac
2577002,Sven-Olof Sandberg,Flicka Från Backafall / Sjösala Vals,1941,Pop,Shellac
4433461,"Andrews Sisters, The",You Call Everybody Darling / Underneath The Arches,1948,Pop,Shellac
4600754,"Claudio Villa, Gino Latilla",Usignolo / Il Pericolo Numero Uno,1957,Pop,Shellac
2971098,Kenneth McKellar,The Rowan Tree / Bonnie Lass O' Ballochmyle,0,"Folk, World, & Country",Shellac
2787914,Reichsmusikzug Des Reichsarbeitsdienstes,"Erika! / Jawoll, Das Stimmt, Jawoll!",0,Brass & Military,Shellac
4325578,Albert Lortzing,Der Wildschütz (Ouvertüre),0,Classical,Shellac
2953810,"Ella Fitzgerald And Ink Spots, The",Cow-Cow Boogie / Don't Believe Everything You Dream,0,"Jazz, Pop",Shellac
2854631,Duško Jakšić,"Poslednji Put Sam Vidio Pariz / Zbogom, Ljubavi Moja",1956,Pop,Shellac
4108587,Colin O'More,Mavis / Kashmiri Song,1921,Pop,Shellac
4741370,Jim Reeves,Drinking Tequila / Red Eyed And Rowdy,1955,"Folk, World, & Country",Shellac
3187498,Глеб Романов,Баркетта / Парижские Бульвары,0,"Pop, Folk, World, & Country",Shellac
3283256,Steve Gibson's Red Caps,Pleasant Dreams / Mary Had A Little Jam,1945,"Jazz, Pop",Shellac
3883669,Eddie Fisher With Hugo Winterhalter Orchestra,I'm Just A Vagabond Lover / Song Of The Dreamer,1955,Pop,Shellac
3390458,Cab Calloway And His Cab Jivers,Give Me Twenty Nickels For A Dollar / The Jungle King,1947,Jazz,Shellac
3705090,Claudio Villa,Me Ne Vado A Spasso,1947,Pop,Shellac
3255080,Мия Побер,Тоска По Родине / Тени Минувшего,1947,"Latin, Pop",Shellac
2606846,Pyotr Ilyich Tchaikovsky - Hallé Orchestra Conducted By Sir Malcolm Sargent,Eugen Onegin,1947,Classical,Shellac
2133017,"Heinrich Schlusnus, Staatskapelle Berlin Dir.: Leo Blech",Rigoletto: Feile Sklaven / Der Barbier Von Sevilla: Ich Bin Das Faktotum,1945,Classical,Shellac
1780534,Giovanni Turchetti E Dea Garbaccio,Sopra Una Nuvola Con Te / Ascensione,1940,"Pop, Stage & Screen",Shellac
3700057,Bessie Smith,Long Old Road / Shipwreck Blues,1932,Blues,Shellac
