Release ID,Artist,Title,Year,Genres,Formats
4759678,Various,Trance Vision Dance,0,Electronic,VHS
2829772,U2,Under A Blood Red Sky,1983,Rock,VHS
549807,Keith Jarrett,Standards II,1987,Jazz,VHS
3217022,Marc Bolan,"Virgin Video Music Biography - Marc Bolan Volume 2 ""The Teenage Dream"" 1973–1977",1988,Rock,VHS
2804014,Bad Religion,Along The Way,1990,Rock,VHS
3432501,Various,Lonely Is An Eyesore,1987,"Electronic, Pop","CD, Vinyl, Cassette, VHS, Box Set"
4624347,Meat Beat Manifesto,6 Videos,1992,Electronic,VHS
520195,"Prodigy, The",Electronic Punks,1995,Electronic,VHS
1998373,Branimir Štulić,Klinček Stoji Pod Oblokom,1990,Rock,VHS
198673,Vidna Obmana,Live At 1654 - The Cave,2001,Electronic,VHS
2858418,Various,Dominoes,1988,"Rock, Funk / Soul, Blues",VHS
2196516,"Mission, The",From Dusk To Dawn,1988,Rock,VHS
2315856,Baiser (2),Pictures～Virtue Style～,1995,"Electronic, Rock",VHS
2131764,Various,The Best Of The Energiehal Box,1997,Electronic,"Box Set, CD, VHS"
1379578,Various,Noisyland,1992,"Electronic, Rock",VHS
3123153,Tommy Guerrero,Ear Eye Data Poop,2000,"Electronic, Rock",VHS
4773004,Anthrax,House Of Blues Chicago 8/7/1998,1998,Rock,VHS
1583240,Pentagram (2),Live - Popçular Dışarı..!,1997,Rock,VHS
4471424,Flipper,Flipper Tape,1983,Rock,VHS
508393,Nirvana,Live! Tonight! Sold Out!!,1994,"Rock, Stage & Screen",VHS
4439913,"Quireboys, The",A Bit Of What You Fancy,1990,Rock,VHS
3609031,Marky Mark & The Funky Bunch,Music For The People,1991,"Hip Hop, Pop",VHS
3583601,Thompson Twins,Single Vision,1986,Electronic,VHS
4082943,Various,RockVideo Monthly - Heavy Metal Releases,1994,Rock,VHS
2464609,Pussy Galore (2),Maximum Penetration,1988,Rock,VHS
4612066,Various,Fuck The Commerce 4,2001,Rock,VHS
1566427,Queensrÿche,Video : Mindcrime,1989,Rock,VHS
2873396,Gwar,Live From Antarctica,1994,"Rock, Stage & Screen",VHS
4660909,Merge (5),In The Lap Of The Gods,1994,Electronic,VHS
1088289,Various,Satisfaxion - The History 2,2001,Electronic,VHS
2609296,Various,Stars On Video Charts No. 54 Februar/März 1995,1995,Electronic,VHS
2159151,Cypress Hill,Still Smokin',2001,Hip Hop,VHS
3074524,Abrasive Wheels,Limited Edition,1984,Rock,VHS
3087837,Various,Revenge Of The Disabled,1993,Rock,VHS
388870,Steve Roach & Vir Unis,The Electric Body,1999,Electronic,VHS
2087194,Aerosmith,Big Ones You Can Look At,1994,Rock,VHS
4820207,Fiona Apple,Fast As You Can,1999,"Rock, Pop",VHS
1990933,Björk,Hunter,1998,Electronic,"Box Set, CD, VHS"
4390981,Pet Shop Boys,Videography (The Singles Collection On Video),1991,Electronic,VHS
1392243,Portishead,Roseland New York,1998,Electronic,VHS
1186785,Psychic TV,Joy,1989,"Electronic, Rock, Pop",VHS
3444313,Ultima Thule (2),Vi Syns I Valhall!,1993,Rock,VHS
2831459,"Bill Evans Trio, The",In Oslo,0,Jazz,VHS
1424219,"Tubes, The",The Tubes Video,1986,Rock,VHS
1124825,Death Squad,Intent,2002,Electronic,"VHS, Box Set"
874513,Jean-Michel Jarre,Destination Docklands - The London Concert,1989,Electronic,VHS
2763591,Various,Tableturns 2nd Anniversary Video,2001,Hip Hop,VHS
2107718,Aki & Turo,No Sleep Till Forssa,1988,"Rock, Pop",VHS
1855011,Elton John,An Audience With Elton John,1997,"Electronic, Rock, Pop",VHS
3092205,Suicidal Tendencies,Lights...Camera...Suicidal,1991,Rock,VHS
3955257,Blondie,The Best Of Blondie,1982,Rock,VHS
2185520,Various,Pandemonium Presents Andromeda IV,1993,Electronic,VHS
3736552,Eva O Halo Experience,Demons Fall For An Angels Kiss,1994,Rock,VHS
4234176,Faith No More,Falling To Pieces,1990,Rock,VHS
1561200,Various,RockVideo Monthly - Alternative Releases - January 1994,1994,Rock,VHS
2197456,Metallica,Home Vid Cliff 'Em All!,1988,Rock,VHS
1315518,Soft Cell,Soft Cell's Non-Stop Exotic Video Show,1982,Electronic,VHS
3634060,Peter Gabriel,Xplora 1: Peter Gabriel's Secret World - 4 Worlds Limited Edition,1994,"Electronic, Rock","CD, VHS, CD"
1047451,Rise Above (2),Rise Above,0,Rock,VHS
4809368,Mica Paris & Will Downing,Where Is The Love,1989,"Electronic, Funk / Soul",VHS
4294846,Megadeth,Evolver (The Making Of Youthanasia),1995,Rock,VHS
3210002,Chertyl Cianciolo Featuring the Music Of Rande Isabella,Better Back,1986,Electronic,VHS
3793277,Invisibl Skratch Piklz,Turntable TV Annual Special 1,1997,Hip Hop,VHS
3398615,Queen,Classic Queen,1992,Rock,VHS
4790086,Rialto,Monday Morning 5:19,1997,"Rock, Pop",VHS
4311671,Sepultura,Third World Chaos,1995,Rock,VHS
548460,Various,Hurricane Live 2033,1997,Rock,VHS
1495076,Siouxsie & The Banshees,Twice Upon A Time,1992,Rock,VHS
737365,Midnight Oil,Outbreak Of Love,1993,Rock,VHS
4169365,KMFDM,Live In Dallas 1-28-90,1990,"Electronic, Rock",VHS
3955689,Sarah McLachlan,Into The Fire / Path Of Thorns / Drawn To The Rhythm,1991,"Rock, Pop",VHS
1452376,Gigi D'Agostino,La Passion,2002,Electronic,VHS
3128399,Belinda Carlisle,Live!,1988,"Rock, Pop",VHS
