Release ID,Artist,Title,Year,Genres,Formats
943369,Red Box,Lean On Me,1985,"Electronic, Rock, Pop","Vinyl, Vinyl, All Media"
943369,Red Box,Lean On Me,1985,"Electronic, Rock, Pop","Vinyl, Vinyl, All Media"
4465453,Ghostface KillahAdrian Younge,Twelve Reasons to Die,0,,"Vinyl, CD"
83933,Martin Venetjoki,The Touchdown EP,2001,Electronic,Vinyl
4816829,Amadeus-Quartett Performs Franz Schubert,"String Quartet No. 14 In D Minor, D810 'Death And The Maiden'",1983,Classical,Vinyl
4356896,REO Speedwagon,In Your Letter,1981,Rock,Vinyl
1751815,Kai Lind,Kultainen Rengas / Ykkönen,1963,Pop,Vinyl
919283,Armand Van Helden,The Best (Greatest Hits),1997,Electronic,Vinyl
509174,Pineapples Feat Douglas Roop,Come On Closer,2005,Electronic,Vinyl
1704674,"Moody Blues, The With London Festival Orchestra",Days Of Future Passed,0,"Rock, Classical",Vinyl
4498344,El Passo (3),"Out The Light, Baby",1971,Reggae,Vinyl
3104608,Fabrizio De André,Fabrizio De Andre,1986,"Rock, Pop, Folk, World, & Country",Vinyl
357122,Frank Martiniq,Boost (Remixed),2005,Electronic,Vinyl
1178132,Arab Strap,The Girls Of Summer E.P.,1997,"Electronic, Rock",Vinyl
1366660,"Beautiful South, The",36D,1992,"Rock, Pop",Vinyl
1519966,Shola Ama,Who's Loving My Baby,1997,Electronic,Vinyl
1729717,Billy Paul,Me And Mrs. Jones,1977,Funk / Soul,Vinyl
4658153,Paula Abdul,Shut Up And Dance,1990,Electronic,Vinyl
985331,Bee Gees,You Should Be Dancing,1976,Electronic,Vinyl
3284273,Roy Shirley,The World Needs Love,1968,Reggae,Vinyl
2198416,Unknown Artist,Bamm Booty,2008,Electronic,Vinyl
2983789,Jackie Edwards,L-O-V-E / My Love And I,1966,Funk / Soul,Vinyl
3160941,By A Thread,Last Of The Daydreams,1999,Rock,Vinyl
579129,Gusto,Let's All Chant,1996,Electronic,Vinyl
3331046,Miss Omega,Know My Name EP,2011,Electronic,Vinyl
2460368,Fantastique,Mama Told Me,1981,Funk / Soul,Vinyl
1951067,TR Junior Feat. Kirsty Hoiles,Rock With Me,1999,Electronic,Vinyl
4283298,Various,"For A Musical Merry Christmas, Volume Two",1965,"Jazz, Pop, Classical",Vinyl
1863740,Various,Deejay's Choice,2000,"Electronic, Blues",Vinyl
4467714,Various,Wagon Train,0,Stage & Screen,Vinyl
557763,Depeche Mode,I Feel You,1993,"Electronic, Rock",Vinyl
2164431,Various,N3XT EP,2010,Electronic,Vinyl
3594214,Hurriganes,Crazy Days,1975,Rock,Vinyl
3423220,Fred Walter,What Is House Music,2002,Electronic,Vinyl
2700987,Frații Petreuș,Asta-i Hore Bătrînească,1983,"Folk, World, & Country",Vinyl
3252474,Frank Ifield,Crystal,1979,"Folk, World, & Country",Vinyl
472047,Fat Larry's Band,Boogie Town,1979,Funk / Soul,Vinyl
1445260,Dan Maze Feat. DJ T.O.M.,Get Funky,2000,Electronic,Vinyl
12516,52nd Street,Can't Afford,1984,Electronic,Vinyl
3802101,Che & Ray,Burning The Boogie,1976,Blues,Vinyl
3173829,P.R.O.B.L.E.M.S. (2),Gotta Get Away From You,2009,Rock,Vinyl
2080099,Claudine Longet,Sugar Me,2009,"Pop, Folk, World, & Country",Vinyl
3824999,"Beatles, The",Abbey Road,1978,Rock,Vinyl
1117844,Jose Domingo Castaño,Mi Pueblo,1978,Pop,Vinyl
3386735,Sadao Watanabe,Orange Express,1981,Jazz,Vinyl
3387862,Dentes,Iarna Pe Uliță,1972,"Rock, Pop",Vinyl
1106488,Twinset (2) / David Loss,Twinset / David Loss,2004,"Pop, Rock",Vinyl
4017315,"Undertones, The",Cher O'Bowlies - The Pick Of The Undertones,0,Rock,Vinyl
4746226,"Lettermen, The",A Portrait Of The Lettermen,0,Pop,Vinyl
2378867,Hamilton Bohannon,The Party Train,1982,Funk / Soul,Vinyl
1734418,Various,The Nutty Professor Soundtrack Phat Grooves,1996,"Hip Hop, Stage & Screen",Vinyl
4106851,Ujima,I'm Not Ready / A Shoulder To Lean On,2012,Funk / Soul,Vinyl
4915207,Ideal (6) Featuring Lil' Mo,Whatever,2000,Hip Hop,Vinyl
2335609,"Sergei Vasilyevich Rachmaninoff - Rafael Orozco, Royal Philharmonic Orchestra, Edo de Waart",Klavierkonzert Nr.2 C-Moll Op. 18 / Rhapsodie Über Ein Thema Von Paganini Op. 43,0,Classical,Vinyl
3691456,XLD True,So Much Trouble In My Mind,1991,Funk / Soul,Vinyl
2511184,Dubkasm,Transform I - Remixed Part 3,2010,"Electronic, Reggae",Vinyl
2224895,Fields Of The Nephilim,The Nephilim,1988,Rock,Vinyl
3780343,Wolfgang Japantour,Necessary Ordeal,2009,Rock,Vinyl
420332,Pussy Dub Foundation,Pussy Dub Foundation E.P.,2002,Electronic,Vinyl
4463263,Between the Buried and Me,The Parallax II: Future Sequence,2012,Rock,Vinyl
2314055,"Walker Brothers, The",The Sun Ain't Gonna Shine Anymore / Make It Easy On Yourself / Land Of A Thousand Dances,1972,"Rock, Pop",Vinyl
1628776,Detroit Emeralds,What's The Deal,1978,Funk / Soul,Vinyl
2370511,Saibon,Number Two,1999,Rock,Vinyl
4688441,Lightning Dust,A Lifetime Of Waiting / Sunday,2013,"Electronic, Rock, Pop",Vinyl
